first_name,last_name,email,phone,stret1,stret2,city,state,zip
Geoff,Bould,gbould2d@ibm.com,2101223621,76308 Boyd Plaza,PO Box 28665,San Antonio,Texas,78265
Harv,von Nassau,hvonnassau2e@pen.io,5013801865,27795 Green Ridge Place,PO Box 31460,Hot Springs National Park,Arkansas,71914
Meredeth,Dawidowitz,mdawidowitz2f@tripod.com,4143693825,03356 Dorton Lane,Room 1712,Milwaukee,Wisconsin,53225
Nancey,Wandrich,nwandrich2g@jigsy.com,4082842990,31 Barnett Street,Room 824,Sunnyvale,California,94089
Celisse,Ondricek,condricek2h@mit.edu,4046402591,184 Hintze Point,Room 120,Atlanta,Georgia,31136
Helen,Huggill,hhuggill2i@blogger.com,5125912501,867 Fair Oaks Street,Apt 1220,Austin,Texas,78778
Nelson,Gummer,ngummer2j@admin.ch,6021345891,517 Golf Course Alley,Suite 1,Mesa,Arizona,85205
Homerus,Alyukin,halyukin2k@wired.com,4053675742,343 Crowley Park,8th Floor,Oklahoma City,Oklahoma,73104
Jordan,Everley,jeverley2l@liveinternet.ru,3212999687,58238 Kingsford Plaza,4th Floor,Melbourne,Florida,32941
Bondon,Novelli,bnovelli2m@naver.com,9519519804,11 Brown Trail,Apt 76,Riverside,California,92513
Starlin,Scholig,sscholig2n@imgur.com,7138743290,99 6th Center,PO Box 98458,Houston,Texas,77223
Kelsey,Bischoff,kbischoff2o@usgs.gov,3306322882,5590 Kim Place,Suite 94,Akron,Ohio,44321
Ezechiel,Simper,esimper2p@google.co.uk,7861102112,97432 Norway Maple Drive,12th Floor,Homestead,Florida,33034
Edeline,De Lorenzo,edelorenzo2q@wiley.com,9155882121,679 Raven Junction,Room 637,El Paso,Texas,88525
Antoni,Bellocht,abellocht2r@nih.gov,5169377194,82599 Bartelt Road,Suite 35,Great Neck,New York,11024
